,Time Span,High,IntermediateHigh,Normal,IntermediateLow,Low
0,2022-2023,2.6350224996807583,2.5450224996807838,2.485022499680781,2.4700224996807947,2.462522499680801
1,2023-2024,2.6850224996807697,2.565022499680765,2.485022499680781,2.4650224996807992,2.4550224996808083
2,2024-2025,2.735022499680781,2.585022499680804,2.485022499680781,2.460022499680804,2.4475224996807583
3,2025-2026,2.7850224996807924,2.6050224996807856,2.485022499680781,2.4550224996808083,2.440022499680765
4,2026-2027,2.835022499680804,2.6250224996807674,2.485022499680781,2.450022499680756,2.432522499680772
5,2027-2028,2.8850224996807583,2.645022499680806,2.485022499680781,2.445022499680761,2.4250224996807788
6,2028-2029,2.9350224996807697,2.665022499680788,2.485022499680781,2.440022499680765,2.4175224996807856
7,2029-2030,2.985022499680781,2.6850224996807697,2.485022499680781,2.4350224996807697,2.4100224996807924
8,2030-2031,3.0350224996807924,2.7050224996808083,2.485022499680781,2.430022499680774,2.4025224996807992
9,2031-2032,3.085022499680804,2.72502249968079,2.485022499680781,2.4250224996807788,2.395022499680806
10,2032-2033,3.1350224996807583,2.745022499680772,2.485022499680781,2.4200224996807838,2.387522499680756
11,2033-2034,3.1850224996807697,2.7650224996807538,2.485022499680781,2.415022499680788,2.380022499680763
12,2034-2035,3.235022499680781,2.7850224996807924,2.485022499680781,2.4100224996807924,2.3725224996807697
13,2035-2036,3.2850224996807924,2.805022499680774,2.485022499680781,2.405022499680797,2.3650224996807765
14,2036-2037,3.335022499680804,2.825022499680756,2.485022499680781,2.400022499680801,2.3575224996807838
15,2037-2038,3.3850224996807583,2.8450224996807947,2.485022499680781,2.395022499680806,2.35002249968079
16,2038-2039,3.4350224996807697,2.8650224996807765,2.485022499680781,2.3900224996807538,2.342522499680797
17,2039-2040,3.485022499680781,2.8850224996807583,2.485022499680781,2.3850224996807583,2.335022499680804
18,2040-2041,3.5350224996807924,2.905022499680797,2.485022499680781,2.380022499680763,2.3275224996807538
19,2041-2042,3.585022499680804,2.9250224996807788,2.485022499680781,2.3750224996807674,2.320022499680761
20,2042-2043,3.6350224996807583,2.945022499680761,2.485022499680781,2.370022499680772,2.3125224996807674
21,2043-2044,3.6850224996807697,2.9650224996807992,2.485022499680781,2.3650224996807765,2.305022499680774
22,2044-2045,3.735022499680781,2.985022499680781,2.485022499680781,2.360022499680781,2.297522499680781
23,2045-2046,3.785022499680792,3.005022499680763,2.485022499680781,2.3550224996807856,2.290022499680788
24,2046-2047,3.835022499680804,3.025022499680801,2.485022499680781,2.35002249968079,2.2825224996807947
25,2047-2048,3.8850224996807583,3.0450224996807838,2.485022499680781,2.3450224996807947,2.275022499680801
26,2048-2049,3.9350224996807697,3.065022499680765,2.485022499680781,2.3400224996807992,2.2675224996808083
27,2049-2050,3.985022499680781,3.085022499680804,2.485022499680781,2.335022499680804,2.2600224996807583
28,2050-2051,4.035022499680792,3.1050224996807856,2.485022499680781,2.3300224996808083,2.252522499680765
29,2051-2052,4.085022499680804,3.1250224996807674,2.485022499680781,2.325022499680756,2.245022499680772
30,2052-2053,4.135022499680758,3.145022499680806,2.485022499680781,2.320022499680761,2.2375224996807788
31,2053-2054,4.18502249968077,3.165022499680788,2.485022499680781,2.315022499680765,2.2300224996807856
32,2054-2055,4.235022499680781,3.1850224996807697,2.485022499680781,2.3100224996807697,2.2225224996807924
33,2055-2056,4.285022499680792,3.2050224996808083,2.485022499680781,2.305022499680774,2.2150224996807992
34,2056-2057,4.335022499680804,3.22502249968079,2.485022499680781,2.3000224996807788,2.207522499680806
35,2057-2058,4.385022499680758,3.245022499680772,2.485022499680781,2.2950224996807838,2.200022499680756
36,2058-2059,4.43502249968077,3.2650224996807538,2.485022499680781,2.290022499680788,2.192522499680763
37,2059-2060,4.485022499680781,3.2850224996807924,2.485022499680781,2.2850224996807924,2.1850224996807697
38,2060-2061,4.535022499680792,3.305022499680774,2.485022499680781,2.280022499680797,2.1775224996807765
39,2061-2062,4.585022499680804,3.325022499680756,2.485022499680781,2.275022499680801,2.1700224996807838
40,2062-2063,4.635022499680758,3.3450224996807947,2.485022499680781,2.270022499680806,2.16252249968079
41,2063-2064,4.68502249968077,3.3650224996807765,2.485022499680781,2.2650224996807538,2.155022499680797
42,2064-2065,4.735022499680781,3.3850224996807583,2.485022499680781,2.2600224996807583,2.147522499680804
43,2065-2066,4.785022499680792,3.405022499680797,2.485022499680781,2.255022499680763,2.1400224996807538
44,2066-2067,4.835022499680804,3.4250224996807788,2.485022499680781,2.2500224996807674,2.132522499680761
45,2067-2068,4.885022499680758,3.445022499680761,2.485022499680781,2.245022499680772,2.1250224996807674
46,2068-2069,4.93502249968077,3.4650224996807992,2.485022499680781,2.2400224996807765,2.117522499680774
47,2069-2070,4.985022499680781,3.485022499680781,2.485022499680781,2.235022499680781,2.110022499680781
48,2070-2071,5.035022499680792,3.505022499680763,2.485022499680781,2.2300224996807856,2.102522499680788
49,2071-2072,5.085022499680804,3.525022499680801,2.485022499680781,2.22502249968079,2.0950224996807947
50,2072-2073,5.135022499680758,3.5450224996807838,2.485022499680781,2.2200224996807947,2.087522499680801
51,2073-2074,5.18502249968077,3.565022499680765,2.485022499680781,2.2150224996807992,2.0800224996808083
52,2074-2075,5.235022499680781,3.585022499680804,2.485022499680781,2.210022499680804,2.0725224996807583
53,2075-2076,5.285022499680792,3.6050224996807856,2.485022499680781,2.2050224996808083,2.065022499680765
54,2076-2077,5.335022499680804,3.625022499680768,2.485022499680781,2.200022499680756,2.057522499680772
55,2077-2078,5.385022499680758,3.645022499680806,2.485022499680781,2.195022499680761,2.0500224996807788
56,2078-2079,5.43502249968077,3.665022499680788,2.485022499680781,2.190022499680765,2.0425224996807856
57,2079-2080,5.485022499680781,3.6850224996807697,2.485022499680781,2.1850224996807697,2.0350224996807924
58,2080-2081,5.535022499680792,3.705022499680808,2.485022499680781,2.180022499680774,2.0275224996807992
59,2081-2082,5.585022499680804,3.72502249968079,2.485022499680781,2.1750224996807788,2.020022499680806
60,2082-2083,5.635022499680815,3.745022499680772,2.485022499680781,2.1700224996807838,2.012522499680756
61,2083-2084,5.6850224996808265,3.7650224996807538,2.485022499680781,2.165022499680788,2.005022499680763
62,2084-2085,5.735022499680781,3.785022499680792,2.485022499680781,2.1600224996807924,1.9975224996807697
63,2085-2086,5.785022499680736,3.805022499680774,2.485022499680781,2.155022499680797,1.9900224996807765
64,2086-2087,5.835022499680804,3.825022499680756,2.485022499680781,2.150022499680801,1.9825224996807835
65,2087-2088,5.885022499680758,3.8450224996807942,2.485022499680781,2.145022499680806,1.97502249968079
66,2088-2089,5.9350224996808265,3.865022499680777,2.485022499680781,2.1400224996807538,1.967522499680797
67,2089-2090,5.985022499680781,3.8850224996807583,2.485022499680781,2.1350224996807583,1.960022499680804
68,2090-2091,6.035022499680736,3.905022499680797,2.485022499680781,2.130022499680763,1.9525224996807535
69,2091-2092,6.085022499680804,3.9250224996807783,2.485022499680781,2.1250224996807674,1.9450224996807608
70,2092-2093,6.135022499680758,3.945022499680761,2.485022499680781,2.120022499680772,1.9375224996807676
